10001d9a,mDiffusion0HorizontalDegree
53a9106e,BombThrow_VelZ
53a9106e,BombThrow_VelZ_Low
53b9ba58,mEnableExcludeArea
53bb94a4,mUseLv2First
53c10290,mMsgHintNoSlideTimerSec
53c46269,mBarrierRadiusFlickerCycleFrame
53c47932,mMsgOnBubbleCountNum
53ccd120,mFly_AirFrm
53cdaf75,animInterp_Obj_Grass00
53d0ddbc,mStartPlazaTitle_ExposureExp
53d1a8ff,OpInk_Armor_HP_High
53d1beb6,mAvoidDir
53d4c796,mContactJumpPanelNrmSaveSpeedRateVS_SettingOcta_
53d7520d,mCharge_DecrFramePerGachaGyro
53da8bcc,mReactionForStepFrame
53df3c94,mRollerJumpAttackVerticalRange
53e033bf,ToHumanRespawn
53e653a9,Hair00_05_WaitGrindRightTurn_RainCloud
53ea4d16,frontR_0200_Scale
5400f4e3,mBreadSchedules[1]
54054b11,Hair2_R_0005
54054b11,Hair2_R_0005_Scale
54056ea,Jump_BigShot01
5409b860,SpecialRt_Restart
5409b860,SpecialRt_Restart_High
54112357,mBulletReactionSideRate
541d0a47,Hair1
541d0a47,Hair1_Rotate
542e2261,mFootSplashPaintRadius
543351b9,JumpAttack1
5436b188,mAttackImpact
5443ae5b,mCharge_GachaFramePerOneFrame
54460bc5,Hair03_00_Win_Nrml_St
54494aa8,mHitStopTime
544c7100,mMinChargeFrame
5456653f,mSuccessFrame
545d871,mLifeFrameMax
54614529,Hair00_05_Lose_Nrml
54705f83,mProudMessageBuffer[9]
5474de3d,mMemo
547512b3,TalkDie
547701b3,Wait_Plaza_Ikamotion
547ea1a6,mContactJumpPanelAddSpeedOneBoundRate
5484fd63,mIsShieldReconstruct
5489c894,mApproachStateTargetDistanceXZAddLockOn
548a99c7,Hair03_00_Lose_Glng
5497ac0a,mMove_AccGnd_Air
5499f729,AppearCharger
549d2e0,mScale_AnimMin
54a28777,mAttackPatternInMiddle_Lv2
54b0a431,mVoice04Timing
54b1d9ce,Relax
54b3a58a,mIsForbidDuplicateWaterCutter
54b9d78f,mImpactBulletZ
54c3a3a1,mSecondGroupWallNrmBoundRate
54c7a2ae,Demo_13_Listen
54cd90d5,mLuminanceColorStep1
54d210b4,z_side_L_AnimReduce
54e7ab31,mMonthlyRewardOffsetScale
54eec126,mSplash_C_WallDropPaintTarget2AlphaEnd
54f05178,mCoopMaxChargeDamage
54f7eeb6,Hair_all_0002
54f7eeb6,Hair_all_0002_Rotate
54f9ab8d,mDuckers[6]
550171d1,Rush
5506fda,mWeakColHeightTillGrow
5513087b,mRiseInitialSpeed
551dd15b,Sp_Start_Bubble_Ed
55236bb7,z_front_0005_AnimReduce
5525c8dc,Wait_Below
552602b4,JumpShoot_Glng00_Downpour_Ed
5527b009,ThrowHold_SuperBall
552cbf37,mAttackStartRangeXZ
552f6faf,mIntervalFrameBank
55309e02,mPreDelayFrm_KeepChargePre
55462bcd,Hair02_01_Win_Rllr_St
55469ee5,mPlayerReflectImpact
5554e30d,mStateParamsBuffer[0]
555522de,mFacePaintClearFrameInAroundPush
55581c09,mDemoDuckingWorld
555b6317,mBurst_KnockBackKb_Ch0
55604c63,mFrontRate
5560ffcf,mEyesight_ViewAngle1
55638974,mSplash_D_CollsionRadiusForField
556b0eaf,mShockWaveRadiusEnd
556ce3cb,CloudParamDawn
55789425,mCanopyMoveKnockBackCoreImpact
5581f31c,mGndKdXZ
55844143,mHitCoolDown
5584809e,mBurst_Damage_Far_Rival
5584fb1b,front2_L_0105
5584fb1b,front2_L_0105_AnimReduce
558ed7fc,mShape_SphereR
558fe1cf,mDropSplashPaintRadius_MaxCharge
5592203b,nape1_0200_Translate
5595f68b,mNC_Burst_Damage_Near
559f00ff,Walk01
559ffe05,mFirstGroupWallNrmBoundRate
55a55e60,mLevelBuffer[5]
55a5c25d,mBindBoneName
55b2c043,TwoShotSpotParams
55b2ec51,mAirBallHangableFirstVel
55b670d7,mBurst_Damage_Near
55b7de77,Attack01
55bb48c0,mEachGroupFirst_WallDropPaintTarget2AlphaEnd
55bf48d5,z_back_0004_AnimReduce
55c4ec23,Wait_Plaza_MobA
55c61a0e,amiiboPose_Sitting_Photo
55c798b5,Hair4_R
55c798b5,Hair4_R_Scale
55d55b24,mDamageRadius
55d6d97b,under
55d6d97b,under_AnimReduce
55dac03e,nape2_R_0005
55dac03e,nape2_R_0005_Translate
55e3f3ca,mPrepare_LockOn
55ec809f,mBarrierMaxScale
55ee5706,mHeadRotDegMaxAxisY
55f4483f,mActionBuffer[9]
55f9c87e,ChangeRail
55fd8b64,mPaintLength
55ff2fc5,mLossLv1Num
56033b32,Hair00_05_Damage
5607ca53,mReturnWaitFrame
561487bb,mCrossPaintRadius_A
56166f24,RunLeftAim_Glng
56183c4b,mActorOffset[3]
56194548,Surprised_St
561def96,mKnockbackVelFr
562169c3,DuckerDefenceGoalOctaParams
5628986b,mStaticCapsuleParams[15]
562b50bd,mRotSpeedRadInShot
562ba29d,mMeshYScale
56328b59,mRiseFall_RiseVel
563706e,mWaterCutterChaseDec
563ead02,DrawingFinish
56436bd9,mSplashVelL
564cd6a1,OpInk_Damage_Lmt
564cd6a1,OpInk_Damage_Lmt_Low
56540cf3,mChargeHeight
565b97e6,mChaseFloatHeight
56662a91,mInitVelFullCharge
566b9936,mHideActorBuffer[3]
566e3056,Hair01_05_amiiboPose_StandingVss_00_Chrg
567f21bb,mSplashParams[1]
567fe3f,mPlayerSideJumpDistanceLR
5683aef,mStRotFrame
569bf1a,mStayShowerKnockBack
569d1e0f,mLifeFrame
569eb1eb,Wait_Shop_BBll
56a2f399,Hair02_00_Lose_BBll
56a86460,mBoundVelYZeroFrame
56aa8aa9,mInkBarAttachRadius
56b384e8,mItemArray
56cf69ff,mChanceEdFrame
56cfae62,mFlySplash_MaxScaleClamp_Ch1
56d068bf,animInterp_Npc_TentaclesA
56d38723,mTargetPlayerLockOnSeFrame
56d8eb81,mFrameDown
56da84f6,DownTalk
56dee156,mSpiralSplashGroup
56e1a553,RotationCalm2
56e3209d,scaler_top_0300_Translate
56e44e70,mPanelMoveTimeL
56e464ff,mOceanEdgeBubbleColor
56e9666,mCheckRadiusLR
56f73e9e,mSplash_A_DamageRateOffset
56f8378d,mImpactScaleForEnemy
5704b759,ToHumanStandby_Umbrella
57065eee,mOffset
5710da05,back1_0002
5710da05,back1_0002_Rotate
571d5218,mRejectMagShotH
5722b274,mBlurLength
57247cf,mChargeTimeCountRate
572e80e8,side1_R_0001
572e80e8,side1_R_0001_AnimReduce
57310635,TouchIC_Twins
573a3f44,Shoot_Chrg
57450d88,mFootPrintAnimBuffer[13]
574670ce,ThrowHold_BigShot
5754a750,mSplashDamage
5757bf54,ThrowBomb_Nrml
57595ef2,mSecondGroupGroundNrmBoundRateUpHillMax
575cfd0a,mSplashAnglePitch
575dd86b,Hair3_R_0005
575dd86b,Hair3_R_0005_Rotate
576dc891,mAttackStTime
576f4e2a,mSquaringOffSpeedSink
57713715,Hair1_R_0002
57713715,Hair1_R_0002_Rotate
5779b249,mShotIntervalTarget2
577b006d,Hair03_00_Demo_09_UpInBlender
5786be93,Hair00_05_WalkShoot_Rllr
5790cce2,mGroundNrmBoundAddSpeed
579ea87b,top_C_Translate
57a05e3,Hair4_L_0200
57a05e3,Hair4_L_0200_AnimReduce
57a937fa,Wait_Plaza_Insert
57bbf0f0,mHoleRadius
57c47dd3,mBodyColCurlingBoundNrmRate
57c602db,mOceanOuterMeshAlphaFadeStart
57c683b,mNC_Burst_SplashVelL
57ca4e6e,mColOffsetVeryWeak
57cdbb9c,JumpTime_Save
57cdbb9c,Player_Spec_JumpTime_Save
57d5a08b,mCheckWallOffsetY
57d5b3ed,mBoundMinDegToSlopeOnUpHillAndHorizonOnDownHill
57da08da,mMove_BrkGnd
57e764da,mSwingPlayerBulletCollisionOffset1
57ef608e,mSplash_A_NumDepletion
57f34a32,Hair02_01_InkArmor_Invocation
57f4fbeb,Sp_Start_SuperBall
57fa3989,mSplash_A_DefaultDeg
57fe5b9b,mHideActorBuffer[14]
580b3fc3,mdamy
581da033,Hair03_00_Lose_Glng_St
5823c0a9,Hair01_05_Lose_Glng_St
5823e570,mNoticeTransitTimingBuffer
58286000,mDispDamage_ScaleFar
5838fc80,mSpiralSplashSpeedMaxDist
5843ef34,Breaktime01
5847beb2,mBackStepStAnimRate
58492cb0,Hair02_01_MsnDemo_Goal_Dummy
584db281,mKnockbackAngleLimit
585192fb,mBackFaceColor
585d0a70,mSwingPlayerBulletCollisionOffset2SolidPosZ
5861e4e3,Wait_LocalLobby_Bored
58622997,mRoundArray[0]
5864df99,mSplashBulletSpeedB
586a2ac3,mBurst_Damage_Near_Rival
587267a0,mUpdateRateEd
5872edac,mTakopterAndStopcockAppearFrameInRefresh
5875767a,mSwingSmallBurst_Damage_Near
587a4487,Jump_GHoko00
587e3925,mDamageToPlayerInterval
5882c43e,mFocusBoneNameBuffer[]
5884006,mRollerHitImpactYSwingDownShotShot
58865b7a,mSlosherCoolDown
588c362f,mSplash_D_WallDropPaintTarget2FrameMax
589705f9,frequencyHigh
58a7ded4,mScale_AnimFrameOffset
58b0f28c,Hair02_00_Wait_Plaza_IdolFan_B
58c02967,Level2Main
58ca904b,side3_L_0004
58ca904b,side3_L_0004_AnimReduce
58cb000d,Ready
58cb6f98,mWaitFrame
58d73ed,mCheckKeepOutE
58d90144,mColShapeBoxSizeForWall
58e03c0c,mKeyBuffer[13]
58e3f95a,WalkBackShoot_WtrCtr
58ea1bd,mSlowDownRateInJam
58f5e0ab,mCameraParams
58fb7a52,mInitVelAndBaseSpeedMid
59005420,Xpose_00_Twins
591a2a19,mFootPrintAnimBuffer[8]
59202c43,mVelScale
592715f0,mEnemyExplodeRadius
592c4dfa,mProneCnt_LV2
59305c1,center1_0101
59305c1,center1_0101_Translate
5938ef95,mInkColShapeLength
593a02d3,mPropellerRotSpeed
5940755,Hair00_05_GachiHokoDunk_Ed
59430faf,SwingDownShotEd
59431593,Demo_Result_St
5965f10e,mNoBarrierRecoveryFrame
59836d9,amiibo_Disappear_B
5994a90a,mSpinMaxSpeedRPS
5995ecd0,FinalOut
599b884d,mScatterSplashBulletNumInGroup
599e9eff,mBarrierCureAcc
59a97479,mPlayerMotionBuffer[]
59acf1d5,mPaintGauge_VelGnd_Shooting
59aeb3dd,mMuteki
59af7c15,mInkBarNum
59b85882,Sit_Surprised
59c3fe1,RecoverFullFrm_Ink
59c3fe1,RecoverFullFrm_Ink_Mid
59c750ca,mFlyAwayToSmallPinchFrame
59cd3b32,mSimpleShotSpeed
59cdbe12,Chance
59d225ca,mLengthCommon
59d79a2c,mSquaringOffFrame
59d7a833,mStampPaintFinalRad
59d85e3c,mDamageRateNotRunning
59dc04bd,nape1_0201
59dc04bd,nape1_0201_Scale
59e2bb34,Hair2_R_0200
59e2bb34,Hair2_R_0200_Translate
59e6717f,animInterp_Obj_WorldSteelTower
59e76042,mShotPos
59f47cf5,mIsNavigateChasePlayerInWait
59f53bb1,mCanopyHeight
5a0490ae,mCoreDamage
5a1098ce,mSecondGroupSplashFromSecondToLastOneOccur
5a164683,mSplash_D_WallDropPaintTarget0Alpha
5a1655cc,mUnrelaxFrmNoBomb
5a168134,mHover_WaitFrm
5a1c5abd,mUseResCloud
5a1fcb97,mIsInkBarForBakeryKing
5a2173eb,mThrowPlayerCollisionSub2Radius
5a246d27,Hair1_R_0200
5a246d27,Hair1_R_0200_Rotate
5a262417,mPlayerRejectShapeInDown
5a39e904,mVel
5a3f247,mSpiralSplashLifeFrame
5a40ca4d,mSplashDamageInsideOutSideBorderDegree
5a47d450,WaitGrindRightTurn_SprMissle
5a4a1d0b,mRailWaitFrame
5a521639,mForceToKingSquid
5a586af5,mLock_FallColR
5a5a3460,ConsumeRt_Sub_High
5a5e3976,back1_0004
5a5e3976,back1_0004_AnimReduce
5a609521,mReflectorIntensSpanglesInFest
5a6244d4,mHeightOffset
5a645d00,mThirdGroupGroundAddSpeed
5a657d07,Hair02_01_Win_BBll
5a704dcb,mBombDamageRadiusNear_B
5a7371e7,mHitWait
5a74b427,mFly_GravityDraw
5a79f794,Hair4_R_0005
5a79f794,Hair4_R_0005_Scale
5a880444,mBombLaunchs[0]
5a88e54d,mFirstGroupBulletSecondAfterPaintFarR
5a9a3a25,mChasePlayer
5ab9bd6a,animInterp_Obj_PlazaPole_B
5abc4ecb,mPopNozzleNum
5abddc3c,Jump_Grind_Chrg_Ed
5abf40db,mSound_BarrierRecallTimes
5acbee82,mPatrolSearchDir
5ace16c0,mChargeRtPerNiceFriend3
5acf59da,back5_0201
5acf59da,back5_0201_Translate
5ad315fd,MoveVelRt_Human_ShotA_Mid
5ad82b1f,mScatterSplashDegreeBias
5ae2009e,mReturnToTrainShape[0]
5ae610ad,animInterp_Obj_AirBallMsn
5aea4860,Hair00_05_Wait_Plaza_TablePhone
5aec1df0,OpInk_VelGnd_Shot
5aec1df0,OpInk_VelGnd_Shot_High
5aefafc2,mSwingDownVAngle
5af59480,Hair02_00_Wait_Plaza_TableBook
5af89646,mPattern1[]
5af90de7,mPeriod_SecondHigh
5afc3b5d,mPunchPattern[7]
5afc9b49,mObjectDamageRateMid
5afd7935,Hair03_00_Wait_MakingOcta02
5afde310,Turn
5b02ae54,Hair02_00_Wait_Making00_St
5b0e11a3,mWaterFall_DelayTime_Coop
5b13ab4a,ShopChange
5b19d596,mBurst_PaintR_Cnt1
5b271499,mActionArea
5b2a3783,mInitialIkuraNum
5b303fcc,headband
5b303fcc,headband_AnimReduce
5b34004c,Hair00_05_Run
5b36623f,mDaibutsu1FadeTime
5b3ba1c2,mBodyRotSpeedDegPerSec
5b4204ac,mDemoStartBox
5b4d2ad5,mIsDroppable
5b4e8028,mRotateFreq0
5b58a4b4,mDuckingParams0
5b5ca1ba,under
5b5ca1ba,under_Scale
5b61adfd,animInterp_Obj_PlazaDanceMachine
5b64725d,mDamageMaxMaxChargeRate_MWPUG_High
5b682b1c,headphoneA
5b682b1c,headphoneA_Translate
5b694141,mKColMaxThickVersusPlayer
5b6aa7cf,mBackStepSpeedY
5b7dadec,mEscapeSearchSpeed
5b7fd660,mSplash_D_WallDropPaintTarget2FrameMin
5b8672d7,mMoveSpeedJump
5b873aa9,mAreaPatternSize
5b88f61a,mDamageBigAnimFrame
5b8bbdc4,ThrowHold_Curling
5b8c4fdb,mGenerateFrame
5b9264c3,side2_R_0004
5b9264c3,side2_R_0004_AnimReduce
5b9c324d,Hair00_05_amiiboPose_Sitting_Drink_B
5ba493ef,mCameraAlphaMin
5baad7c4,mLockStartTime_ByChargeGuide
5bae3a4e,mRiseFall_PID_Kd_AfterBoost
5bb2c5f5,mMostSpeedSplashCreateSplashNum
5bbcc844,mFrameSpawnInterval
5bd75cf7,mCoopSecondGroupBulletFirstDamageMinValue
5bd8b18d,mChargeSpeedSink
5bd90063,Hair03_00_Wait_Dresser
5bdc7a14,mTakoyakiTargetAroundPatterns[1]
5bdd369d,Hair00_05_amiiboPose_StandingVss_00_Umbr
5be0ad52,mMinMaxChargeDamageRate_MWPUG_Mid
5beef1df,Test_Laptop
5bf4eb6f,mNoDamageRunningDurationFrame
5bf72c3,mThrowPlayerCollisionCutAddLengthPerFrame
5bfa42cb,Hair00_05_amiiboPose_SittingVss_00_BBll
5bfd8d27,mFrameWaitDestroy
5bfd8d4,mCancelLaunchDistToPlayer
5c04f202,mLandSplashVel
5c09f1ce,mUnbindOffsetZ
5c0d81f8,BreadIn
5c17d7c4,mRigidBodyOffset
5c187c98,Hair00_05_Lose_Rllr
5c1c8145,mNearDist
5c2902ad,mPillarHeight_FailFar
5c2cc912,side2_L_0003_Rotate
5c2d32b4,mAtXZ
5c30d105,back2_0004
5c30d105,back2_0004_Translate
5c38cbf9,Hair02_00_Demo_Result_00
5c44407c,mDynamicsSphereParams[6]
5c4ac6f0,mMaxDeg
5c4d3403,Wait_Shop_Change_Hed_F
5c4e8ff8,Close_Umbrella
5c50f6c4,arm3_L
5c527e3d,mLossLv1CycleFrm
5c52babd,mNC_Burst_SplashNum
5c536616,Hair02_01_Wait_MakingOcta00
5c5a5c5e,SenpainCannon
5c675c97,mBombDamage_FullCharge
5c6fcdec,CoopLevelsConfig
5c833da,PlazaWaitSearch
5c92a5ec,mBurst_SplashVelL_FullCharge
5c9e73e,BurstDamageRt_Special
5c9e73e,BurstDamageRt_Special_Low
5c9fd16a,mThirdGroupBulletDamageRate_MWPUG_Mid
5ca26914,mNoRejectImpact_Frm
5ca4991,mSamplingNum
5ca6f29e,mBurst_Damage_Far_Cnt1
5caeb003,mBombThrowPos
5caf5366,mRejectMagSquidL
5cb47b9b,mSpectatorBirdDuckingParams
5cb4ac37,Hair02_01_ThrowBomb_Curling
5cc72e9c,mPaintCheckHeight
5cdcf99f,mPitchRotRate
5ce50c88,Hair1_L_0003
5ce50c88,Hair1_L_0003_Translate
5cef5d3f,mEyeUvDirectableParams
5cef865f,mFlyCountMax_Neutral
5cf21749,mColorStep0
5cf93dd5,mClearFieldPaint
5cfb3999,mBombDamage_MaxCharge
5d0119d1,scalerA_0201_Scale
5d073ba1,mPage
5d13f4a,mSniperCameraMoveEndChargeRate
5d196cac,mNice_TravelFrameH
5d19d73a,mCameraBuffer[2]
5d2ddb0b,mAreaParams[4]
5d3c748c,mSphereSplashDropOn
5d3d3ecb,z_nape_R_0005_AnimReduce
5d3e6588,Patrol_B
5d4203bf,mLastBoss_DbgSkipTime
5d465c44,mMinDeg
5d488dae,mEscapeBomb_Speed
5d54a64,mFirstGroupBulletAfterDrawRadiusOffset
5d5b7efd,Demo_09_Lying
5d5fa430,mNC_Burst_KnockBackCoreImpact
5d693a06,mIntervalBurst
5d6e4ce9,mSplash_D_WallDropPaintTarget1Speed
5d711206,EnemyLastKingLiveParams
5d82b0f,mEnemyActiveMax2ndHalf
5d929cf3,arm2_L
5d948c0c,JumpShoot_Rllr00_Ed
5d95168f,mSplashDamageReductionEndRate
5d9be94a,Wait_Plaza_LookImportant
5da74ac2,mRareAppearCycle
5da75726,mCautionRoundEnabled
5daa6218,animInterp_Obj_AirBall
5dad13db,mConstraintPedalAnim
5db3c652,mSectionParams[2]
5db4c00d,mSplash_A_InitSpeedNoRandomNum
5db81e30,mBulletDamageMaxDist_MWPUG_Use
5dbab8f7,mFirstGroupAfterBulletBoundPaintRadiusOffset
5dbe902d,mRotateSpinePoseLPitch
5dc07dae,mKnockBackRadiusRate_MWPUG_Mid
5dc57922,WaitHold_BBll_Sp
5dc66952,Hair3_R
5dc66952,Hair3_R_Translate
5dc6b33f,mNearDeathLife
5dcbc512,mDiffusion0VerticalOffset
5dcc87b9,mPillarPushLength
5dce745a,Jump01_St
5dd05b05,mCycleTime
5dd47973,animInterp_Obj_PlazaPole_F
5dd75f27,Erase
5dd7782e,mNewsStartRegion
5dd9beee,BreadEyeClose
5de5380e,mRotSlowDeg
5de92336,ConsumeRt_Sub_C_Mid
5df4a832,Hair1
5df4a832,Hair1_Translate
5df81ca9,mThirdGroupSplashMaxNum
5dfc5cd1,mWallHitIgnoreTime
5e09fa7f,mConnectTime
5e0c7856,animInterp_Obj_BigNamazu
5e159b8b,mDegJumpBias
5e15d6f5,mThrowFieldCollisionOffset
5e1a7e97,mSplashPaintRadius_MWPUG_Mid
5e1d5dee,mThirdGroupGroundNrmBoundRate
5e1de9e8,mInkRecoverStop
5e2d20cf,Jump_BombLauncher00
5e336584,mDropIkuraPosOffsetY
5e387056,mIsResetLifeAtGnd
5e42d61,Hair_all_0101
5e42d61,Hair_all_0101_Translate
5e48b274,mSwingBigBurst_Damage_Far
5e4c4f20,mRiseTargetPlayerOverHeightVsOnlyOneTarget
5e58f829,mUpDownCycle
5e5eb7bb,mSplashPaintRadiusReductionEndFrame
5e6b7c32,mActionGuideOffsetY
5e759a05,mNoPlayerCollisionFrame
5e7de08a,mBurst_SplashNum_FullCharge
5e86eecf,mSplash_B_WallDropPaintTarget2AlphaMid
5e88c869,Hair03_00_StaffRoll_Wait
5e938590,SubRt_Effect_Mid
5e974fc4,mAnimShapeForOther
5e977651,mCameraDripOffFrame
5e99582a,mBurst_Radius_Middle_H
5ea0c454,mPaintMoveSphereCheckOffsetY
5eb0f71,mPaintGauge_ShotDirXZ_RotDegBias
5eb3f9f1,mColSize
5eb6612d,Jump_Nrml00
5eba8a0,nape1_R_0005
5eba8a0,nape1_R_0005_Scale
5ecce4a1,mSideStepOneMuzzleDamageRate_MWPUG_High
5ecd0d00,back2_0201
5ecd0d00,back2_0201_AnimReduce
5ed4117c,mStrategySetTable_Lv2[0]
5edb2544,mBackAttackSlowFrame
5ee01e45,mRejectMagHumanJump
5ee12e4b,mGuideCenterBulletNumInGroup
5eefbc28,MainInk_Save
5eefbc28,Player_Spec_MainInk_Save
5ef2be7c,mPlayerTransform
5f0357fa,mBurst_Damage_HalfSphereThresholdY_SJ
5f0eba7,mGird_Frame
5f0f92f6,Hair00_05_amiiboPose_SittingVss_02_BBll
5f1fb744,mSurprisedMessageBuffer
5f28e6a0,Hair00_05_amiiboPose_StandingVss_02_Umbr
5f2a906a,Hair02_01_Shoot_BigLaserP
5f2e86e5,ThrowBomb_Rllr
5f2ee91d,mThirdGroupBurst_PaintRFar
5f2f6360,mSize.s32
5f30821b,Sqd_amiibo_Wait
5f30b29,OffMapPhone
5f391ee,mSplash_D_WallDropPaintShockRadius
5f39ede2,mCanMoveAngleDiffDeg
5f3c2cec,SceneBgmMissionLastBossParams
5f4609a8,mShockWaveCutOffY
5f4b46d1,mProudMessageBuffer[12]
5f4f782a,ErodeNoiseForFreq0
5f51e824,mOnline
5f5b95fe,Jump_BigShot01_St
5f624eac,mUpDownExpandFrame
5f668e79,WaitGrindRightTurn_Umbrella
5f66b06e,mModelUpRotateAxisCrossVelDegree
5f7beeb8,mNextStageWaitFrame
5f853e92,mUseBloomFade
5f87a1e7,Wait_Making02
5f8e3279,mFloatCurveGround
5f93f0c9,ThrowMiss_BothHands
5f9aad74,OpInk_Armor_HP_Low
5fac4b04,TouchIC_Umbrella
5fac772a,mSplashPaintWidthFullActive
5fb21f47,Shoot_BigShot
5fc3d002,mMove_VelGnd_Kf_SettingOcta_
5fceeacd,mReflectionRateGnd
5fcf2ea,mRandomRewardStartScale
5fcfeea6,mSplashDamageInsideMinDist
5fd26ebf,nape1_0201
5fd26ebf,nape1_0201_Rotate
5fd422aa,arm1_L
5fdf423c,Hair3_L_0003
5fdf423c,Hair3_L_0003_AnimReduce
5ff201fc,mDegJumpRandom
6001ad93,DokanWarp_TameFrm
6001ad93,DokanWarp_TameFrm_Low
6006eb3f,mDynamicsSphereParams[13]
6014544c,front01
60172daf,mOctaMapDemoWaitTimeClear
602e980f,mRule
6037c26c,mRailFollowAbleParams
6047d634,mSurprisedMessageBuffer[4]
6048856,mTwoShot_DOFNear1stTapNum
605d7145,Greeting_St
6064f297,mWallCheckCol_Radius
606a0c13,mMinimumThrowToRunStartFrame
606f1433,mSecondGroupSplashMaxNum
607562ce,Hair00_05_Sp_Start_SprLanding_St
607d4c2f,AttackEd_Helmet
6081446b,Hair02_00_Wait_Plaza_Chair
6081abf3,frontR_0200_Translate
609a1674,Hair1_R_0200
609a1674,Hair1_R_0200_Translate
609cb7b4,mReadyFrameFest
60a2c639,mBurst_Radius_Middle_Enemy
60ac01b3,mPunchPattern[24]
60b05894,mMove_VelGnd_Enemy
60b2181d,WalkBackShoot_Umbrella
60b3d94d,mIsDrawOuterOcean
60b47deb,Hair02_00_Jump
60b80fbd,mScaleMoveFrame
60c5fa88,Hair02_01_ThrowHold_BothHands
60c75738,mOceanOuterMeshAlphaFadeEnd
60cd0f,mAppearJumpAcc_Geyser
60d15871,Bored
60e3fd0b,mShotIntervalTargetMission
60e7eca3,mSideStepMoveFrm
60e9a03,mDamageReactionFrame
60eaa1fc,mStampEdWeakImpact
60efd312,mEndState
60f12691,Hair00_05_Lose_BBll
60ffa81b,mBombCoreRadiusRateHigh
6105e637,T_Find
610c343f,mFindDegree
61134108,Happy_St_Umbrella
6114a0f0,Wait_LocalLobby_MaintenanceB
6115f00d,mBurst_KnockBackRadius_MaxCharge
61189d6a,Demo_15_Only
611ce590,mSpringDamp
611ff0e4,mThirdGroupBulletAfterCollsionRadiusForFieldOffset
61221dc6,mFogBlendFactor
61334fa6,Hair02_01_Wait_MakingOcta01
6136c00a,mDamageEffectableOctaParams
613750f3,WaitHold_SuperBall
613a894f,mDamageWeak
614319e5,mKnockBackThresholdSpeed
614450ba,T_ChaseShotSt
615d0fef,mCanopyCureHPPerFrame
6160a1c0,mChanceStImpact
616659eb,mSplashDamageOutsideMiddle2Dist
616eeb2e,mIsRepaintForward
61796921,mFootSplashInitSpeed
6183991d,animInterp_Npc_SubwayConductor
61923ef9,mColorStep1
619b3ebe,mThrowPlayerCollisionCenterRadius
619eae2a,mPillarRotateSpeedRadInAttack
61aa25ad,mLensDOF_FoculDistance
61aa25ad,mLensDOF_FoculDistance.f32
61aaef77,Hair02_00_Wait_Making04
61ab4b1b,mStartPosOffsetDist
61bdf2f,center1_0101
61bdf2f,center1_0101_Scale
61c08bf8,SwingDownHorizontal
61c6db2e,mBurst_Damage_Far_Cnt0
61c72d2c,Jump_RainCloud00_St
61d5f525,mAmbienceVolume
61db4aed,TakoyakiBomb
61df03d3,mSearchIgnoreY
61dfd26b,WaitDuck
61e15322,mLock_SplashOfstY
61ec06ff,mSpongeFallableDist
61ec0837,nape1_0003_Scale
61f53f56,SpecialRt_Restart_SuperLanding_Mid
61fb5eaf,mSphereSplashRoundAxisX1
62012712,mCrossPaintRadiusMid
6201646d,mCoopThirdGroupBurst_Radius_Middle
620ed253,Wait_Shop_Nrml
621b93f4,mReadyLongTextTalkLength
62220abe,Charge
6224692e,mBurst_PaintRFirstShotRate
622beb58,fullface
622beb58,fullface_Rotate
62329021,Hair02_00_Lose_Nrml
62341791,ThrowBomb_TakoBomb
623927f9,mFullChargeDamage_MWPUG_Max
623ade62,mPrepare_Transform
623b7dad,mCentralStation_TelephoneDemoFade
623f8bee,mStaticPlaneParams
62405566,mDynamicsSphereParams[23]
624409b6,mApproachStateMissileMaxDegree
6247027a,mSphereSplashRoundAxisY4
624a1978,ConsumeRt_Sub_High
6251b7de,mKeyBuffer[6]
625c4a2f,nape1_0002_AnimReduce
6266a33,mPaintNearCenterDistance
627088cd,mBombDamageRadiusMiddle_A
62708ecd,WalkShoot_Chrg
627b0b49,mNearestSplahSplitLength
62806e37,mDontInitializeBombPlayerDist
62810d04,Hair01_05_WaitGrind_RainCloud
628bb3bc,mAccLerpNBias
6291410f,mThreatRadiusMaxSpeed
629b9e5b,Unknown
62ad5d29,Hair02_00_Demo_Start
62b4edb1,mSecondGroupGroundAddSpeedUpHillMax
62b5f609,mBurst_SplashOfstY_Cnt2
62c0583d,mDamageRateBias
62c4995c,mRejectStickDownSquid
62c9062,mDynamicsSphereParams[27]
62cc976a,z_top_0104_AnimReduce
62cd5e5b,mDynamicsParamsBuffer[4]
62cd7c7e,mKnockBackOnZero
62cf1e47,mStepSink_InfluenceDistance
62d3a17a,Demo_15_Laser
62d4d855,mEnable
62d4d98e,mEscapeBombInChase_PredictTime
62d68308,mGunDirectableParams
62d94ccf,Hair01_05_Lose_Glng
62d976a9,mAngleCorrectDir
62da4fd,scaler_rear_0300_Translate
62e6b85a,ToHumanStandby
62e78857,Wait_Making03
62eabfea,mPunchPattern[14]
62ebcc81,mLock_SplashPitL
62ed6080,mPaintBrushSwingRepeatFrame
62f68581,mCopyScale
62fa3a1e,mOverDamageInPlayer
62fde28a,mOceanIsFadeOuterSurface
63005e60,hair_Rotate
6302705c,FesExcited_loop
630720bd,mUseOwnerMtx
630a7394,Die
6313c08,mBreadDieFrameInDie
63170804,mInkRecoverFrame
